Weeks Old,Count,Hours,Rounded_Hours
0,7,2.871428571428571,3.0
1,7,2.814285714285714,3.0
2,7,2.711904761904762,3.0
3,7,2.873809523809524,3.0
4,7,3.2095238095238097,3.0
5,7,3.166666666666667,3.0
6,7,3.6023809523809525,4.0
7,7,3.852380952380952,4.0
8,7,4.8999999999999995,5.0
9,7,4.780952380952381,5.0
10,7,5.854761904761905,6.0
11,7,5.652380952380952,6.0
12,7,5.452380952380952,5.0
13,7,8.35952380952381,8.0
14,7,7.5809523809523816,8.0
15,7,8.304761904761905,8.0
16,7,9.25952380952381,9.0
17,7,10.288095238095238,10.0
18,7,9.071428571428571,9.0
19,7,8.788095238095238,9.0
20,7,10.51904761904762,11.0
21,7,9.926190476190476,10.0
22,7,11.357142857142858,11.0
23,7,10.657142857142857,11.0
24,7,9.969047619047618,10.0
25,6,10.266666666666666,10.0
