Weeks Old,Count,Hours,Avg Per Day,Rounded Avg Per Day
0,7,73.66666666666667,10.523809523809524,11.0
1,7,85.71666666666667,12.245238095238095,12.0
2,7,90.96666666666667,12.995238095238095,13.0
3,7,96.13333333333333,13.733333333333333,14.0
4,7,105.23333333333333,15.033333333333333,15.0
5,7,110.36666666666667,15.766666666666667,16.0
6,7,113.68333333333334,16.24047619047619,16.0
7,7,113.35000000000001,16.192857142857143,16.0
8,7,114.05000000000001,16.292857142857144,16.0
9,7,115.31666666666666,16.473809523809525,16.0
10,7,116.71666666666667,16.673809523809524,17.0
11,7,114.51666666666667,16.35952380952381,16.0
12,7,111.3,15.9,16.0
13,7,120.03333333333333,17.14761904761905,17.0
14,7,117.75,16.821428571428573,17.0
15,7,117.68333333333334,16.811904761904763,17.0
16,7,118.65,16.95,17.0
17,7,120.43333333333334,17.204761904761906,17.0
18,7,117.38333333333333,16.76904761904762,17.0
19,7,116.48333333333333,16.64047619047619,17.0
20,7,121.45,17.35,17.0
21,7,120.03333333333333,17.14761904761905,17.0
22,7,122.75,17.535714285714285,18.0
23,7,119.18333333333334,17.026190476190475,17.0
24,7,117.61666666666667,16.802380952380954,17.0
25,6,100.46666666666667,16.744444444444444,17.0
